"id";"user_id";"item_id";"timestamps";"category_id";"behavior_type";"datetimes";"dates";"times";"hours"
1;2;109534;1512266959;4809328;"pv";"2017-12-03 13:09:19";"2017-12-03";"13:09:19";"13"
2;2;109534;1512267944;4809328;"pv";"2017-12-03 13:25:44";"2017-12-03";"13:25:44";"13"
3;2;111223;1511700967;4130426;"fav";"2017-11-26 23:56:07";"2017-11-26";"23:56:07";"23"
4;2;111223;1511701555;4130426;"pv";"2017-11-27 00:05:55";"2017-11-27";"00:05:55";"00"
5;2;111223;1511701683;4130426;"pv";"2017-11-27 00:08:03";"2017-11-27";"00:08:03";"00"
6;2;183534;1511848031;4683311;"fav";"2017-11-28 16:47:11";"2017-11-28";"16:47:11";"16"
7;2;541487;1512266966;1373028;"pv";"2017-12-03 13:09:26";"2017-12-03";"13:09:26";"13"
8;2;664061;1511918756;941949;"fav";"2017-11-29 12:25:56";"2017-11-29";"12:25:56";"12"
9;2;708929;1511709246;1676308;"pv";"2017-11-27 02:14:06";"2017-11-27";"02:14:06";"02"
10;2;768349;1512213343;2885642;"pv";"2017-12-02 22:15:43";"2017-12-02";"22:15:43";"22"
11;2;896208;1512268693;171128;"pv";"2017-12-03 13:38:13";"2017-12-03";"13:38:13";"13"
12;2;915080;1512276167;4207901;"pv";"2017-12-03 15:42:47";"2017-12-03";"15:42:47";"15"
13;2;1066723;1512213570;3439012;"pv";"2017-12-02 22:19:30";"2017-12-02";"22:19:30";"22"
14;2;1066723;1512214474;3439012;"buy";"2017-12-02 22:34:34";"2017-12-02";"22:34:34";"22"
15;2;1161905;1512105022;2925160;"buy";"2017-12-01 16:10:22";"2017-12-01";"16:10:22";"16"
16;2;1326601;1512276512;4207901;"cart";"2017-12-03 15:48:32";"2017-12-03";"15:48:32";"15"
17;2;1326601;1512276640;4207901;"pv";"2017-12-03 15:50:40";"2017-12-03";"15:50:40";"15"
18;2;1381886;1511847922;4683311;"pv";"2017-11-28 16:45:22";"2017-11-28";"16:45:22";"16"
19;2;1381886;1511848274;4683311;"pv";"2017-11-28 16:51:14";"2017-11-28";"16:51:14";"16"
20;2;1438918;1512214164;4159072;"pv";"2017-12-02 22:29:24";"2017-12-02";"22:29:24";"22"
21;2;1438918;1512214542;4159072;"buy";"2017-12-02 22:35:42";"2017-12-02";"22:35:42";"22"
22;2;1622198;1512276489;4207901;"pv";"2017-12-03 15:48:09";"2017-12-03";"15:48:09";"15"
23;2;1705435;1511847849;4683311;"pv";"2017-11-28 16:44:09";"2017-11-28";"16:44:09";"16"
24;2;1737658;1512268132;4207901;"pv";"2017-12-03 13:28:52";"2017-12-03";"13:28:52";"13"
25;2;1737658;1512269596;4207901;"cart";"2017-12-03 13:53:16";"2017-12-03";"13:53:16";"13"
26;2;1737658;1512276265;4207901;"pv";"2017-12-03 15:44:25";"2017-12-03";"15:44:25";"15"
27;2;1737658;1512276636;4207901;"pv";"2017-12-03 15:50:36";"2017-12-03";"15:50:36";"15"
28;2;1982687;1511849047;662846;"pv";"2017-11-28 17:04:07";"2017-11-28";"17:04:07";"17"
29;2;1993509;1511841471;3290084;"pv";"2017-11-28 14:57:51";"2017-11-28";"14:57:51";"14"
30;2;2096004;1511787044;3593457;"pv";"2017-11-27 23:50:44";"2017-11-27";"23:50:44";"23"
31;2;2164214;1512276559;4207901;"pv";"2017-12-03 15:49:19";"2017-12-03";"15:49:19";"15"
32;2;2177946;1511836984;4078249;"pv";"2017-11-28 13:43:04";"2017-11-28";"13:43:04";"13"
33;2;2224056;1511848227;4683311;"pv";"2017-11-28 16:50:27";"2017-11-28";"16:50:27";"16"
34;2;2224056;1511848277;4683311;"pv";"2017-11-28 16:51:17";"2017-11-28";"16:51:17";"16"
35;2;2529246;1511836961;662846;"pv";"2017-11-28 13:42:41";"2017-11-28";"13:42:41";"13"
36;2;2699234;1511848615;4018452;"pv";"2017-11-28 16:56:55";"2017-11-28";"16:56:55";"16"
38;2;2899794;1511701649;3855599;"fav";"2017-11-27 00:07:29";"2017-11-27";"00:07:29";"00"
39;2;3069364;1512267244;1373028;"cart";"2017-12-03 13:14:04";"2017-12-03";"13:14:04";"13"
40;2;3069364;1512268112;1373028;"pv";"2017-12-03 13:28:32";"2017-12-03";"13:28:32";"13"
41;2;3228767;1512214011;4159072;"pv";"2017-12-02 22:26:51";"2017-12-02";"22:26:51";"22"
42;2;3228767;1512214504;4159072;"buy";"2017-12-02 22:35:04";"2017-12-02";"22:35:04";"22"
43;2;3496752;1512213296;2885642;"pv";"2017-12-02 22:14:56";"2017-12-02";"22:14:56";"22"
44;2;3496752;1512213461;2885642;"pv";"2017-12-02 22:17:41";"2017-12-02";"22:17:41";"22"
45;2;3496752;1512213911;2885642;"pv";"2017-12-02 22:25:11";"2017-12-02";"22:25:11";"22"
46;2;3496752;1512214474;2885642;"buy";"2017-12-02 22:34:34";"2017-12-02";"22:34:34";"22"
47;2;3674105;1511848139;4683311;"pv";"2017-11-28 16:48:59";"2017-11-28";"16:48:59";"16"
48;2;3674859;1511841435;926345;"fav";"2017-11-28 14:57:15";"2017-11-28";"14:57:15";"14"
49;2;3730891;1511852797;2865017;"pv";"2017-11-28 18:06:37";"2017-11-28";"18:06:37";"18"
50;2;3730891;1511853505;2865017;"buy";"2017-11-28 18:18:25";"2017-11-28";"18:18:25";"18"
51;2;3840500;1511859538;3312150;"pv";"2017-11-28 19:58:58";"2017-11-28";"19:58:58";"19"
52;2;3870997;1512266661;4585904;"pv";"2017-12-03 13:04:21";"2017-12-03";"13:04:21";"13"
53;2;3939145;1512215399;4130426;"pv";"2017-12-02 22:49:59";"2017-12-02";"22:49:59";"22"
55;2;4441210;1511848551;4018452;"pv";"2017-11-28 16:55:51";"2017-11-28";"16:55:51";"16"
56;2;4514061;1511751692;3597057;"pv";"2017-11-27 14:01:32";"2017-11-27";"14:01:32";"14"
57;2;4606045;1511849581;4858656;"pv";"2017-11-28 17:13:01";"2017-11-28";"17:13:01";"17"
58;2;4681233;1511853300;1849958;"pv";"2017-11-28 18:15:00";"2017-11-28";"18:15:00";"18"
59;2;4681233;1511853505;1849958;"buy";"2017-11-28 18:18:25";"2017-11-28";"18:18:25";"18"
60;2;4768250;1511701129;4130426;"pv";"2017-11-26 23:58:49";"2017-11-26";"23:58:49";"23"
61;2;4768250;1511701205;4130426;"fav";"2017-11-27 00:00:05";"2017-11-27";"00:00:05";"00"
